iter	Passed	Remaining
0	1	151
1	3	178
2	5	183
3	7	170
4	8	170
5	10	167
6	12	162
7	14	162
8	16	162
9	17	160
10	19	157
11	21	155
12	22	152
13	24	150
14	26	148
15	28	148
16	30	146
17	31	144
18	33	143
19	35	142
20	37	140
21	39	138
22	40	136
23	42	134
24	44	132
25	46	131
26	48	130
27	50	128
28	51	126
29	53	125
30	55	123
31	57	121
32	59	120
33	61	118
34	62	116
35	64	114
36	66	112
37	68	111
38	70	109
39	72	108
40	74	106
41	75	103
42	76	101
43	78	100
44	80	98
45	82	96
46	84	95
47	86	93
48	87	91
49	89	89
50	91	87
51	92	85
52	94	83
53	96	81
54	97	79
55	98	77
56	100	75
57	102	74
58	104	72
59	106	70
60	108	69
61	110	67
62	111	65
63	113	63
64	115	62
65	117	60
66	119	58
67	120	56
68	122	55
69	124	53
70	126	51
71	128	49
72	129	47
73	131	46
74	133	44
75	135	42
76	137	41
77	139	39
78	141	37
79	142	35
80	144	33
81	146	32
82	148	30
83	149	28
84	151	26
85	153	24
86	155	23
87	156	21
88	158	19
89	161	17
90	163	16
91	165	14
92	167	12
93	168	10
94	170	8
95	172	7
96	174	5
97	176	3
98	178	1
99	179	0
